iterations,fitness,time
0,3192.79254222,0.068310183
10,3315.94803664,0.103608479
20,3359.69620494,0.147824295
30,3297.04139897,0.175762213
40,3327.18744899,0.210468662
50,3280.18500302,0.240128709
60,3297.44206241,0.276695111
70,3313.89779492,0.305106095
80,3280.18500302,0.329180665
90,3280.18500302,0.348201252
100,3313.89779492,0.371383436
110,3280.18500302,0.390744989
120,3280.18500302,0.411887793
130,3280.18500302,0.428960055
140,3309.99691597,0.450531875
150,3326.49830087,0.479581603
160,3280.18500302,0.497370785
170,3297.44206241,0.516281255
180,3280.18500302,0.537252752
190,3297.44206241,0.553711376
200,3299.46315923,0.572320969
210,3280.18500302,0.602327971
220,3280.18500302,0.616385205
230,3280.18500302,0.635173786
240,3280.18500302,0.652895475
250,3280.18500302,0.670914214
260,3280.18500302,0.694439874
270,3298.70365662,0.723024292
280,3280.18500302,0.741457296
290,3280.18500302,0.752048817
300,3313.89779492,0.785130242
310,3280.18500302,0.794015664
320,3280.22684757,0.802897404
330,3287.33289351,0.820014604
340,3280.18500302,0.83067254
350,3288.22712239,0.843884974
360,3280.18500302,0.854830941
370,3280.18500302,0.865522796
380,3297.44206241,0.88816762
390,3280.18500302,0.897769621
400,3280.18500302,0.914157668
410,3280.18500302,0.926601128
420,3299.46315923,0.935142681
430,3280.18500302,0.943750685
440,3297.04139897,0.960959642
450,3280.18500302,0.982546697
460,3280.18500302,0.994696974
470,3287.53797428,1.011354516
480,3280.18500302,1.032422441
490,3280.18500302,1.049787028
500,3343.35469682,1.063600553
510,3305.92658062,1.075728312
520,3284.88659957,1.085322952
530,3280.18500302,1.094801238
540,3326.49830087,1.107649738
550,3280.18500302,1.123266385
560,3309.99691597,1.132021117
570,3313.89779492,1.140921441
580,3280.18500302,1.150633475
590,3280.18500302,1.159977066
600,3309.99691597,1.177906863
610,3280.18500302,1.190245117
620,3280.18500302,1.205275683
630,3280.18500302,1.216701392
640,3280.18500302,1.22654356
650,3280.18500302,1.235472935
660,3299.46315923,1.244263808
670,3280.18500302,1.254219218
680,3280.18500302,1.269505521
690,3303.34165195,1.282356249
700,3303.34165195,1.291536458
710,3297.44206241,1.306021587
720,3280.18500302,1.322434051
730,3326.49830087,1.334590554
740,3300.27326967,1.343760604
750,3280.18500302,1.357465898
760,3297.44206241,1.366987993
770,3280.18500302,1.382311522
780,3296.47754914,1.393139935
790,3280.18500302,1.410049365
800,3280.18500302,1.431032875
810,3280.18500302,1.448194465
820,3280.18500302,1.468496147
830,3280.18500302,1.488125669
840,3280.18500302,1.498667746
850,3280.18500302,1.50904631
860,3280.18500302,1.521132661
870,3280.18500302,1.53539567
880,3280.18500302,1.545749401
890,3291.98418209,1.555145839
900,3280.18500302,1.564005913
910,3280.18500302,1.578411363
920,3309.99691597,1.591386374
930,3280.18500302,1.602715997
940,3326.49830087,1.611724516
950,3280.18500302,1.624282024
960,3280.18500302,1.639488166
970,3280.18500302,1.649482228
980,3280.18500302,1.663585518
990,3297.44206241,1.687122236
1000,3280.18500302,1.695700843
1010,3280.18500302,1.70439068
1020,3280.18500302,1.71657533
1030,3286.43362368,1.746119743
1040,3299.46315923,1.774997122
1050,3280.18500302,1.801945307
1060,3280.18500302,1.814943801
1070,3280.18500302,1.825835469
1080,3280.18500302,1.836615257
1090,3280.18500302,1.852729453
1100,3280.18500302,1.863896376
1110,3280.18500302,1.875848655
1120,3326.49830087,1.892912928
1130,3280.18500302,1.906831122
1140,3280.18500302,1.917014599
1150,3297.04139897,1.93063633
1160,3280.28118568,1.942413185
1170,3280.18500302,1.955539114
1180,3280.18500302,1.968148951
1190,3280.18500302,1.97685364
1200,3299.46315923,1.985438641
1210,3280.18500302,1.994572468
1220,3280.18500302,2.006375102
1230,3309.99691597,2.031159535
1240,3280.18500302,2.053913497
1250,3280.18500302,2.076064299
